condition,A
kernel,pr
promoted,60051
faulted_back,27289
resident_at_end,32762
promoted_then_freed,0
erase_cycles_used,60051
trials_completed,1050
malformed_trial_rows,9
dram_trials,719
dram_median_s,0.2443
dram_spread_s,0.0066
ltram_trials,322
ltram_settled_median_s,2.7937
slowdown_pct,1043.49
slowdown_x,11.435
fit_points,322
fit_slope_s_per_page,7.062893e-05
implied_ns_per_access,14125.8
expected_ns_per_access,900
peak_ltram_pages,32838
peak_ltram_pct,91.8
