condition,A
kernel,pr
promoted,60267
faulted_back,0
resident_at_end,60267
promoted_then_freed,0
erase_cycles_used,60267
trials_completed,376
malformed_trial_rows,2
dram_trials,185
dram_median_s,0.9543
dram_spread_s,0.0157
ltram_trials,189
ltram_settled_median_s,5.3252
slowdown_pct,458.04
slowdown_x,5.58
fit_points,189
fit_slope_s_per_page,6.397493e-05
implied_ns_per_access,12795.0
expected_ns_per_access,900
peak_ltram_pages,60267
peak_ltram_pct,42.23
