condition,A
kernel,pr
promoted,60711
faulted_back,159
resident_at_end,60552
promoted_then_freed,0
erase_cycles_used,60711
trials_completed,127
malformed_trial_rows,1
dram_trials,41
dram_median_s,4.3609
dram_spread_s,0.0275
ltram_trials,85
ltram_settled_median_s,11.1249
slowdown_pct,155.11
slowdown_x,2.551
fit_points,85
fit_slope_s_per_page,9.264896e-05
implied_ns_per_access,18529.8
expected_ns_per_access,900
peak_ltram_pages,60549
peak_ltram_pct,21.14
