elapsed_s,ns_per_line,resid_pct,phase
41.953,199.4,,1
42.098,199.3,,1
42.243,199.1,,1
42.389,199.3,,1
42.534,199.3,,1
42.680,199.5,,1
42.825,199.3,,1
42.971,199.2,,1
43.116,199.4,,1
43.262,199.3,,1
43.407,199.3,,1
43.553,199.3,,1
43.698,199.4,,1
43.844,199.2,,1
43.989,199.3,,1
44.135,199.4,,1
44.280,199.1,,1
44.426,200.0,,1
44.571,199.2,,1
44.717,199.4,,1
44.862,199.2,,1
45.008,200.2,,1
45.154,199.2,,2
45.344,199.4,,2
45.493,200.5,,2
45.678,201.3,,2
45.826,205.7,,2
45.973,204.5,,2
46.121,206.5,,2
46.270,213.6,,2
46.421,210.5,,2
46.572,217.5,,2
46.722,216.3,,2
46.875,224.8,,2
47.027,223.8,,2
47.180,226.2,,2
47.335,232.1,,2
47.492,230.8,,2
47.646,232.1,,2
47.802,239.2,,2
47.959,241.5,,2
48.116,243.5,,2
48.274,245.3,,2
48.433,251.2,,2
48.593,253.1,,2
48.754,256.8,,2
48.915,259.0,,2
49.078,256.1,,2
49.240,258.5,,2
49.402,261.0,,2
49.568,267.7,,2
49.733,270.4,,2
49.898,272.5,,2
50.063,274.7,,2
50.231,281.8,,2
50.399,284.8,,2
50.568,288.0,,2
50.737,288.4,,2
50.908,293.6,,2
51.079,295.4,,2
51.251,301.2,,2
51.423,298.5,,2
51.596,305.6,,2
51.770,307.3,,2
51.945,309.7,,2
52.121,314.8,,2
52.297,314.5,,2
52.475,321.7,,2
52.653,321.5,,2
52.833,327.3,,2
53.012,329.1,,2
53.193,333.4,,2
53.376,338.2,,2
53.558,338.8,,2
53.741,340.1,,2
53.925,342.4,,2
54.110,348.9,,2
54.296,348.1,,2
54.482,353.7,,2
54.669,356.6,,2
54.859,358.9,,2
55.049,365.6,,2
55.239,369.9,,2
55.430,368.0,,2
55.621,374.0,,2
55.815,379.2,,2
56.008,379.2,,2
56.202,385.2,,2
56.399,387.8,,2
56.595,392.1,,2
56.792,396.0,,2
56.991,397.5,,2
57.189,400.1,,2
57.390,410.4,,2
57.590,405.5,,2
57.791,409.6,,2
57.995,411.3,,2
58.198,418.7,,2
58.403,425.2,,2
58.608,425.3,,2
58.813,426.9,,2
59.021,435.5,,2
59.229,437.7,,2
59.438,439.1,,2
59.647,440.6,,2
59.858,450.9,,2
60.071,449.8,,2
60.282,451.6,,2
60.498,463.7,,2
60.712,462.5,,2
60.927,460.3,,2
61.146,471.8,,2
61.364,473.6,,2
61.583,476.8,,2
61.803,482.5,,2
62.024,486.2,,2
62.248,489.0,,2
62.470,491.5,,2
62.694,494.9,,2
62.917,497.1,,2
63.143,502.0,,2
63.370,508.3,,2
63.597,511.2,,2
63.828,514.4,,2
64.057,517.2,,2
64.288,524.4,,2
64.520,526.8,,2
64.754,534.8,,2
64.988,535.0,,2
65.224,545.3,,2
65.461,547.2,,2
65.699,550.6,,2
65.940,552.8,,2
66.179,555.8,,2
66.421,559.8,,2
66.662,562.3,,2
66.905,571.6,,2
67.149,574.0,,2
67.395,579.9,,2
67.641,580.5,,2
67.889,591.2,,2
68.136,587.3,,2
68.387,598.2,,2
68.637,599.0,,2
68.889,604.7,,2
69.142,605.8,,2
69.396,613.3,,2
69.651,617.6,,2
69.908,622.5,,2
70.166,625.1,,2
70.425,630.3,,2
70.686,636.6,,2
70.948,641.9,,2
71.211,643.7,,2
71.475,650.6,,2
71.740,651.4,,2
72.007,658.0,,2
72.274,662.9,,2
72.543,669.1,,2
72.813,671.6,,2
73.085,681.6,,2
73.358,683.5,,2
73.632,688.1,,2
73.906,690.3,,2
74.184,701.7,,2
74.460,697.4,,2
74.739,708.4,,2
75.019,709.8,,2
75.299,715.6,,2
75.582,722.6,,2
75.866,721.9,,2
76.151,731.2,,2
76.439,734.9,,2
