workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
"redis (95/5 zipfian, 10000 ops/s)",5,455448,94.37,0.21,3,smaps_referenced,0.26,0.04,0.00
"redis (95/5 zipfian, 10000 ops/s)",10,455448,90.04,0.21,3,smaps_referenced,0.46,0.04,0.00
"redis (95/5 zipfian, 10000 ops/s)",20,455448,82.83,0.20,3,smaps_referenced,0.74,0.06,0.00
"redis (95/5 zipfian, 10000 ops/s)",30,455448,76.73,0.20,3,smaps_referenced,0.96,0.06,0.00
"redis (95/5 zipfian, 10000 ops/s)",45,455448,69.03,0.14,3,smaps_referenced,1.12,0.02,0.00
"redis (95/5 zipfian, 10000 ops/s)",60,455448,62.51,0.14,3,smaps_referenced,1.16,0.02,0.00
"redis (95/5 zipfian, 10000 ops/s)",90,455448,51.99,0.14,3,smaps_referenced,1.19,0.02,0.00
"redis (95/5 zipfian, 10000 ops/s)",120,455448,43.81,0.14,3,smaps_referenced,1.12,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",180,455448,32.04,0.14,3,smaps_referenced,0.93,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",240,455448,24.09,0.13,3,smaps_referenced,0.70,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",300,455448,18.62,0.13,3,smaps_referenced,0.53,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",360,455448,14.74,0.13,3,smaps_referenced,0.42,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",480,455448,9.93,0.13,3,smaps_referenced,0.25,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",600,455448,7.35,0.13,3,smaps_referenced,0.13,0.01,0.00
