workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
bfs (kron22),5,137139,98.13,1.50,3,smaps_referenced,1.14,1.67,1.41
bfs (kron22),10,137139,98.13,0.32,3,smaps_referenced,1.14,0.30,1.42
bfs (kron22),20,137139,98.13,0.32,3,smaps_referenced,1.14,0.29,1.62
bfs (kron22),30,137139,98.13,0.32,3,smaps_referenced,1.14,0.29,1.41
bfs (kron22),45,137139,98.13,0.08,3,smaps_referenced,1.14,0.07,1.42
bfs (kron22),60,137139,98.13,0.08,3,smaps_referenced,1.14,0.07,1.62
bfs (kron22),90,137139,98.13,0.02,3,smaps_referenced,1.14,0.04,1.17
bfs (kron22),120,137139,98.13,0.02,3,smaps_referenced,1.14,0.03,1.51
bfs (kron22),180,137139,98.13,0.00,3,smaps_referenced,1.14,0.00,1.62
bfs (kron22),240,137139,98.13,0.00,3,smaps_referenced,1.14,0.00,1.28
bfs (kron22),300,137139,98.13,0.00,3,smaps_referenced,1.14,0.00,1.31
bfs (kron22),360,137139,98.13,0.00,3,smaps_referenced,1.14,0.00,1.40
bfs (kron22),480,137139,98.13,0.00,3,smaps_referenced,1.14,0.00,1.27
bfs (kron22),600,137139,98.13,0.00,3,smaps_referenced,1.14,0.00,1.62
