condition,A
kernel,pr
promoted,62193
faulted_back,438
resident_at_end,61755
promoted_then_freed,0
erase_cycles_used,62193
trials_completed,127
malformed_trial_rows,1
dram_trials,29
dram_median_s,6.1437
dram_spread_s,0.0088
ltram_trials,97
ltram_settled_median_s,9.227
slowdown_pct,50.19
slowdown_x,1.502
fit_points,97
fit_slope_s_per_page,2.487629e-05
implied_ns_per_access,4975.3
expected_ns_per_access,900
peak_ltram_pages,61752
peak_ltram_pct,10.74
