workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method
pagerank (kron22),120,142791,94.23,0.31,5,smaps_referenced
pagerank (kron22),240,142791,94.23,-1.00,4,none
pagerank (kron22),360,142791,94.23,-1.00,3,none
pagerank (kron22),480,142791,94.23,-1.00,2,none
pagerank (kron22),600,142791,94.23,-1.00,1,none
