workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method
llama.cpp (tinyllama 1.1B),120,312658,94.17,40.99,5,smaps_referenced
llama.cpp (tinyllama 1.1B),240,312658,94.03,-1.00,4,none
llama.cpp (tinyllama 1.1B),360,312658,93.92,-1.00,3,none
llama.cpp (tinyllama 1.1B),480,312658,93.78,-1.00,2,none
llama.cpp (tinyllama 1.1B),600,312658,93.69,-1.00,1,none
