workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method
bfs (kron22),120,139295,96.57,0.31,5,smaps_referenced
bfs (kron22),240,139295,96.51,-1.00,4,none
bfs (kron22),360,139295,96.46,-1.00,3,none
bfs (kron22),480,139295,96.58,-1.00,2,none
bfs (kron22),600,139295,96.65,-1.00,1,none
