workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
pagerank (kron22),5,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,0.00
pagerank (kron22),10,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,1.21
pagerank (kron22),20,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,1.91
pagerank (kron22),30,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,1.91
pagerank (kron22),45,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,0.00
pagerank (kron22),60,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,2.43
pagerank (kron22),90,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,0.00
pagerank (kron22),120,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,0.00
pagerank (kron22),180,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,0.00
pagerank (kron22),240,140058,96.13,0.27,3,smaps_referenced,2.69,0.19,0.00
pagerank (kron22),300,140058,96.13,0.11,3,smaps_referenced,2.69,0.08,3.81
pagerank (kron22),360,140058,96.13,0.11,3,smaps_referenced,2.69,0.08,1.36
pagerank (kron22),480,140058,96.13,0.11,3,smaps_referenced,2.69,0.08,0.00
pagerank (kron22),600,140058,96.13,0.11,3,smaps_referenced,2.69,0.08,0.00
