workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
"memcached (95/5 zipfian, 10000 ops/s)",5,427688,93.16,0.11,3,smaps_referenced,0.46,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",10,427688,87.98,0.01,3,smaps_referenced,0.85,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",20,427688,79.47,0.01,3,smaps_referenced,1.43,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",30,427688,72.35,0.01,3,smaps_referenced,1.85,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",45,427688,63.51,0.01,3,smaps_referenced,2.13,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",60,427688,56.17,0.01,3,smaps_referenced,2.26,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",90,427688,44.68,0.01,3,smaps_referenced,2.36,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",120,427688,24.61,0.01,3,smaps_referenced,16.98,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",180,427688,7.71,0.01,3,smaps_referenced,10.23,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",240,427688,5.23,0.01,3,smaps_referenced,6.92,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",300,427688,1.31,0.01,3,smaps_referenced,1.49,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",360,427688,0.23,0.01,3,smaps_referenced,0.00,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",480,427688,0.21,0.01,3,smaps_referenced,0.00,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",600,427688,0.20,0.01,3,smaps_referenced,0.00,0.00,0.00
