workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method
redis (95/5 zipfian),120,263411,44.60,0.25,5,smaps_referenced
redis (95/5 zipfian),240,263411,25.67,-1.00,4,none
redis (95/5 zipfian),360,263411,16.18,-1.00,3,none
redis (95/5 zipfian),480,263411,10.86,-1.00,2,none
redis (95/5 zipfian),600,263411,7.63,-1.00,1,none
