elapsed_s,ns_per_line,resid_pct,phase
276.450,399.1,,2
277.474,380.4,,2
278.515,391.8,21.01,2
280.003,417.6,,2
281.100,426.6,,2
282.158,401.3,,2
283.184,381.6,,2
284.231,392.9,21.16,2
285.685,404.2,,2
286.760,413.4,,2
287.788,382.5,,2
288.847,394.0,,2
289.910,405.2,21.30,2
291.389,420.4,,2
292.453,405.8,,2
293.492,383.7,,2
294.552,404.8,,2
295.610,395.2,21.44,2
297.059,394.6,,2
298.131,401.4,,2
299.178,396.2,,2
300.231,390.0,,2
301.298,399.1,21.58,2
302.739,396.4,,2
303.771,385.6,,2
304.832,396.9,,2
305.883,397.2,,2
306.917,386.2,21.73,2
308.361,396.9,,2
309.417,397.9,,2
310.458,386.9,,2
311.498,387.2,,2
312.553,400.2,21.87,2
314.023,409.0,,2
315.076,398.9,,2
316.144,408.6,,2
317.214,409.0,,2
318.288,407.0,22.02,2
319.768,411.1,,2
320.826,399.4,,2
321.871,389.2,,2
322.971,422.1,,2
324.054,417.8,22.17,2
325.539,422.5,,2
326.605,401.4,,2
327.666,404.1,,2
328.724,401.8,,2
329.779,399.3,22.32,2
331.232,402.3,,2
332.272,391.3,,2
333.316,394.2,,2
334.423,424.9,,2
335.504,416.5,22.47,2
336.969,402.7,,2
338.010,392.7,,2
339.074,407.4,,2
340.179,426.9,,2
341.257,405.8,22.62,2
342.694,393.7,,2
343.790,427.1,,2
344.858,410.0,,2
345.939,416.9,,2
347.070,439.5,22.77,2
348.578,439.0,,2
349.638,394.8,,2
350.701,405.4,,2
351.769,408.3,,2
352.839,407.1,22.92,2
354.292,395.7,,2
355.366,407.1,,2
356.443,406.4,,2
357.504,403.9,,2
358.643,453.5,23.06,2
360.110,410.5,,2
361.178,408.2,,2
362.256,408.5,,2
363.343,420.3,,2
364.452,426.7,23.21,2
365.916,409.1,,2
366.981,398.1,,2
368.041,398.4,,2
369.119,409.7,,2
370.201,417.1,23.35,2
371.682,420.5,,2
372.761,410.4,,2
373.821,399.5,,2
374.897,412.6,,2
375.996,419.4,23.50,2
377.451,400.1,,2
378.520,400.3,,2
379.588,400.6,,2
380.696,434.1,,2
381.795,418.8,23.64,2
383.267,412.5,,2
384.324,401.6,,2
385.444,435.0,,2
386.534,413.0,,2
387.599,402.0,23.79,2
389.098,424.5,,2
390.199,423.2,,2
391.303,424.9,,2
392.415,436.6,,2
393.492,403.5,23.93,2
394.971,413.7,,2
396.038,403.8,,2
397.114,415.1,,2
398.191,415.5,,2
399.272,415.7,24.07,2
400.743,415.0,,2
401.836,425.6,,2
402.923,421.8,,2
404.033,436.1,,2
405.113,416.5,24.21,2
406.647,449.4,,2
407.745,427.3,,2
408.841,426.8,,2
409.908,406.3,,2
410.981,406.5,24.37,2
412.468,422.1,,2
413.535,406.9,,2
414.640,430.6,,2
415.725,418.5,,2
416.809,418.7,24.52,2
418.307,431.8,,2
419.419,428.7,,2
420.541,440.7,,2
421.614,408.4,,2
422.701,419.7,24.67,2
424.193,423.3,,2
425.293,420.2,,2
426.400,433.2,,2
427.521,432.8,,2
428.596,414.3,24.81,2
430.091,427.2,,2
431.184,421.6,,2
432.271,421.9,,2
433.382,433.8,,2
434.507,445.2,24.96,2
435.996,426.8,,2
437.123,445.7,,2
438.251,446.9,,2
439.355,424.7,,2
440.491,448.9,25.12,2
442.018,444.8,,2
443.127,426.4,,2
444.227,423.3,,2
445.327,423.8,,2
446.452,446.3,25.26,2
447.940,426.1,,2
449.046,424.4,,2
450.157,435.8,,2
451.274,436.6,,2
452.352,414.5,25.40,2
453.853,425.1,,2
454.965,436.5,,2
456.086,441.1,,2
457.168,415.5,,2
458.315,458.5,25.56,2
459.816,426.8,,2
460.975,459.7,,2
462.096,441.8,,2
463.202,433.7,,2
464.367,461.3,25.72,2
465.888,446.2,,2
467.011,439.4,,2
468.171,462.0,,2
469.322,453.4,,2
470.468,453.1,25.87,2
471.944,418.3,,2
473.049,429.6,,2
474.171,440.4,,2
475.271,430.4,,2
476.410,454.5,26.02,2
477.920,440.3,,2
479.006,419.8,,2
480.113,431.0,,2
481.200,420.1,,2
482.313,431.5,26.15,2
483.825,431.5,,2
484.962,442.2,,2
486.067,432.0,,2
487.189,442.6,,2
488.310,442.2,26.32,2
489.862,457.5,,2
490.967,433.1,,2
492.091,445.6,,2
493.201,435.4,,2
494.314,437.2,26.46,2
495.828,438.9,,2
496.993,459.7,,2
498.121,446.2,,2
499.290,472.6,,2
500.418,447.9,26.62,2
501.954,456.9,,2
503.067,435.6,,2
504.176,435.0,,2
505.292,436.0,,2
506.403,435.4,26.77,2
507.923,435.6,,2
509.052,446.8,,2
510.205,458.2,,2
511.342,447.3,,2
512.489,458.8,26.93,2
514.036,461.4,,2
515.186,461.9,,2
516.300,437.9,,2
517.450,460.5,,2
518.564,438.2,27.08,2
520.109,460.7,,2
521.241,449.2,,2
522.374,450.2,,2
523.578,495.4,,2
524.731,462.4,27.24,2
526.245,435.0,,2
527.368,433.7,,2
528.519,452.7,,2
529.663,457.2,,2
